Reading,Timestamp,,ObjectTemp_C
1829,18529403,,43.49001
1830,18539465,,43.27001
1831,18549527,,43.52999
1832,18559591,,43.18999
1833,18569681,,43.46999
1834,18579730,,43.39001
1835,18589778,,43.58999
1836,18600089,,43.41
1837,18610529,,43.52999
1838,18620981,,43.36999
1839,18631037,,43.08999
1840,18641223,,43.17001
1841,18651269,,43.29
1842,18661341,,43.20998
1843,18671397,,43.42999
1844,18681450,,43.27001
1845,18691506,,43.27001
1846,18701579,,43.39001
1847,18711631,,43.13
1848,18722017,,43.30999
1849,18732105,,43.29
1850,18742152,,43.30999
1851,18752201,,43.39001
1852,18762254,,43.36999
1853,18772333,,43.41
1854,18782531,,43.58999
1855,18792612,,43.33001
1856,18802812,,43.39001
1857,18812874,,43.30999
1858,18822928,,43.33001
1859,18833251,,43.41
1860,18843299,,43.39001
1861,18853357,,43.36999
1862,18863468,,43.29
1863,18873530,,43.61001
1864,18883588,,43.67001
1865,18895275,,43.39001
1866,18905349,,43.27001
1867,18915411,,43.29
1868,18925471,,43.27001
1869,18935525,,43.39001
1870,18945575,,43.33001
1871,18955627,,43.46999
1872,18965681,,43.39001
1873,18976109,,43.52999
1874,18986586,,43.39001
1875,18996695,,43.27001
1876,19006744,,43.30999
1877,19016993,,43.36999
1878,19027403,,43.41
1879,19037632,,43.29
1880,19047718,,43.58999
1881,19057771,,43.57
1882,19067828,,43.49001
1883,19077904,,43.33001
1884,19088242,,43.41
1885,19098377,,43.36999
1886,19109392,,43.39001
1887,19119477,,43.17001
1888,19129548,,43.58999
1889,19139597,,43.23
1890,19149649,,43.29
1891,19159713,,43.51
1892,19169771,,43.36999
1893,19179829,,43.57
1894,19189875,,43.23
1895,19199956,,43.58999
1896,19210004,,43.39001
1897,19220325,,43.63
1898,19230381,,43.36999
1899,19240579,,43.36999
1900,19250661,,43.39001
1901,19260716,,43.42999
1902,19270771,,43.23
1903,19280858,,43.33001
1904,19291271,,43.30999
1905,19301347,,43.23
1906,19311534,,43.63
1907,19321594,,43.52999
1908,19331823,,43.46999
1909,19341888,,43.52999
1910,19351936,,43.29
1911,19361990,,43.33001
1912,19372045,,43.29
1913,19382098,,43.30999
1914,19392147,,43.57
1915,19402469,,43.57
1916,19412565,,43.63
